"","AGEP","RACAIAN","RACASN","RACBLK","RACSOR","RACWHT","ESR_label","SCHL_label","WAGP","YOEP","CITWP","years_to_nat"
"933",62,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1983,1999,16
"934",39,"0","1","0","0","0","Not in labor force","Regular high school diploma",0,2000,2010,10
"935",81,"0","0","0","0","1","Not in labor force","Bachelor's degree",0,1945,1959,14
"936",64,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",24000,1972,2005,33
"937",39,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",37200,1981,2015,34
"938",39,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",48000,2006,2009,3
"939",50,"0","0","1","0","0","Civilian employed, at work","Bachelor's degree",90000,2005,2010,5
"940",61,"0","0","0","0","1","Not in labor force","Grade 7",0,1988,2008,20
"941",36,"0","0","0","0","1","Civilian employed, at work","1 or more years of college credit, no degree",16000,1988,2012,24
"942",31,"0","0","0","0","1","Unemployed","1 or more years of college credit, no degree",0,1988,2008,20
"943",42,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",180000,1989,1998,9
"944",40,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",115000,2008,2014,6
"945",60,"0","0","0","0","1","Civilian employed, at work","Master's degree",0,1983,1987,4
"946",37,"0","1","0","0","0","Not in labor force","Master's degree",0,2002,2014,12
"947",71,"0","1","0","0","0","Not in labor force","GED or alternative credential",0,1995,2003,8
"948",35,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",30000,1996,2017,21
"949",36,"0","1","0","0","0","Not in labor force","12th grade - no diploma",0,2003,2008,5
"950",69,"0","0","0","1","0","Not in labor force","Grade 7",0,1975,2015,40
"951",19,"0","1","0","0","0","Civilian employed, at work","Some college, but less than 1 year",4000,2010,2017,7
"952",26,"0","1","0","0","1","Civilian employed, at work","Bachelor's degree",56000,1993,1999,6
"953",41,"0","0","0","1","0","Civilian employed, at work","Regular high school diploma",90000,1982,2000,18
"954",37,"0","0","1","0","0","Civilian employed, at work","Regular high school diploma",17700,2005,2010,5
"955",72,"0","1","0","0","0","Not in labor force","Grade 9",0,2004,2010,6
"956",48,"0","0","0","1","0","Civilian employed, at work","Some college, but less than 1 year",20000,1996,2008,12
"957",42,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",24200,1990,2011,21
"958",74,"0","1","0","0","0","Not in labor force","Master's degree",0,1992,2000,8
"959",72,"0","1","0","0","0","Civilian employed, at work","Associate's degree",1800,1992,2000,8
"960",41,"0","1","0","0","0","Civilian employed, at work","Master's degree",24000,2003,2005,2
"961",51,"0","0","1","0","0","Civilian employed, at work","Professional degree beyond a bachelor's degree",565000,2003,2009,6
